"cmdName","Description","Link","Authors","Letter"
"alignedranks","stata module to perform a two-sample aligned rank-sum (hodges-lehmann) test with exact statistics for small samples","https://econpapers.repec.org/software/bocbocode/s457871.htm","`Ariel Linden`","A"
"alignedsets","stata module to perform aligned ranks test for matched sets (hodges-lehmann)","https://econpapers.repec.org/software/bocbocode/s457899.htm","`Ariel Linden`","A"
"alignmicro","stata module to perform alignment in microsimulation","https://econpapers.repec.org/software/bocbocode/s457855.htm","`Jinjing Li`","A"
"allcatplot","stata module to ensure that all predefined response categories for a variable, including those that are not present in the dataset are included in a graph","https://econpapers.repec.org/software/bocbocode/s459328.htm","`Kabira Namit`,` Zaeen  de Souza`,` Prabhmeet Kaur Matta`","A"
"allpossible","stata module to fit all possible models with subsets of predictors","https://econpapers.repec.org/software/bocbocode/s427901.htm","`Nicholas Cox`","A"
"allsubsets","stata module to perform all subsets (combinatorial) meta-analysis in a set of studies","https://econpapers.repec.org/software/bocbocode/s457535.htm","`Thomas A`.` Trikalinos`","A"
"allsynth","stata module to automate estimation of (i) bias-corrected synthetic control gaps (""treatment effects"")","https://econpapers.repec.org/software/bocbocode/s459076.htm","`Justin Wiltshire`","A"
"alluvial","stata module for alluvial graphs","https://econpapers.repec.org/software/bocbocode/s459153.htm","`Asjad Naqvi`","A"
"almon1","stata module to estimate shirley almon polynomial distributed lag model","https://econpapers.repec.org/software/bocbocode/s458025.htm","`Emad Shehata`","A"
"almon","stata module to estimate shirley almon generalized polynomial distributed lag model","https://econpapers.repec.org/software/bocbocode/s458126.htm","`Emad Shehata`","A"
"alogit","stata module to estimate (in)attentive logit regression from abaluck and adams","https://econpapers.repec.org/software/bocbocode/s458341.htm","`Jason Abaluck`,` Mauricio Caceres Bravo`","A"
"alorenz","stata module to produce pen's parade, lorenz and generalised lorenz curve","https://econpapers.repec.org/software/bocbocode/s456749.htm","`Jo`ã`o Pedro Azevedo`,` Samuel Franco`","A"
"alphawgt","stata module to compute cronbach's alpha for weighted data","https://econpapers.repec.org/software/bocbocode/s444101.htm","`Ben Jann`","A"
"alsmle","stata module to perform beach-mackinnon ar(1) autoregressive maximum likelihood estimation","https://econpapers.repec.org/software/bocbocode/s457425.htm","`Emad Shehata`","A"
"amcmc","stata module to provide mata functions and structures for adaptive markov chain monte carlo sampling","https://econpapers.repec.org/software/bocbocode/s457613.htm","`Matthew Baker`","A"
"ameta","stata module to perform alternative and bayesian meta-analysis","https://econpapers.repec.org/software/bocbocode/s459051.htm","`Kalliopi K`.` Exarchou`-`Kouveli`,` Eleni Nikolaidou`,` Panagiota I`.` Kontou`,` Pantelis G`.` Bagos`","A"
"anketest","stata module to perform diagnostic tests for spatial autocorrelation in the residuals of ols, sar, iv, and iv-sar models","https://econpapers.repec.org/software/bocbocode/s457113.htm","`P`.` Wilner Jeanty`","A"
"anneal","ox module to perform simulated annealing","https://econpapers.repec.org/software/bocbocode/x942601.htm","`Michael Creel`","A"
"annearly","matlab function to forecast univariate time series","https://econpapers.repec.org/software/bocbocode/t741514.htm","`Shapour Mohammadi`","A"
"anninptsigtest","matlab function to test the statistical significance of inputs","https://econpapers.repec.org/software/bocbocode/t741519.htm","`Shapour Mohammadi`","A"
"annlyap","matlab function to calculate lyapunov exponents","https://econpapers.repec.org/software/bocbocode/t741512.htm","`Shapour Mohammadi`","A"
"annnonlintst","matlab function to perform nonlinearity test for univariate and multivariate time series","https://econpapers.repec.org/software/bocbocode/t741517.htm","`Shapour Mohammadi`","A"
"anogi","stata module to generate analysis of gini","https://econpapers.repec.org/software/bocbocode/s456730.htm","`Ben Jann`","A"
"anymatch","stata module to perform distance matching based on any metric","https://econpapers.repec.org/software/bocbocode/s457077.htm","`Roy Wada`","A"
"anythingtodate","stata module to convert all types of date variables to stata date variables","https://econpapers.repec.org/software/bocbocode/s458725.htm","`Nobuaki Michihata`","A"
"apbreaktest","rats procedure to implement andrews-ploberger structural break test","https://econpapers.repec.org/software/bocbocode/rts00006.htm","`Tom Doan`","A"
"apc","stata module for estimating age-period-cohort effects","https://econpapers.repec.org/software/bocbocode/s456754.htm","`Sam Schulhofer`-`Wohl`,` Yang Yang`","A"
"apcd","stata module for estimating age-period-cohort effects with detrended coefficients","https://econpapers.repec.org/software/bocbocode/s457440.htm","`Louis Chauvel`","A"
"apcgo","stata module to calculate age-period-cohort effects for the gap between two groups (based on a blinder-oaxaca decomposition), including trends for each parameter","https://econpapers.repec.org/software/bocbocode/s458331.htm","`Louis Chauvel`,` Anne Hartung`,` Eyal Bar`-`Haim`","A"
"apch","stata module for estimating age-period-cohort and hysteresis effects","https://econpapers.repec.org/software/bocbocode/s457360.htm","`Louis Chauvel`","A"
"apgradienttest","rats procedure to perform andrews-ploberger structural break test for garch/maximum likelihood","https://econpapers.repec.org/software/bocbocode/rts00007.htm","`Tom Doan`","A"
"apoverty","stata module to compute poverty measures","https://econpapers.repec.org/software/bocbocode/s456750.htm","`Jo`ã`o Pedro Azevedo`","A"
"appendfile","stata module to append text files","https://econpapers.repec.org/software/bocbocode/s456971.htm","`Julian Reif`","A"
"arautolags","rats procedure to compute information criteria for ar models using yule-walker or burg","https://econpapers.repec.org/software/bocbocode/rts00008.htm","`Tom Doan`","A"
"arch","matlab function to compute arch test","https://econpapers.repec.org/software/bocbocode/t961402.htm","`Christopher Baum`","A"
"archlm","stata module to calculate lm test for arch effects","https://econpapers.repec.org/software/bocbocode/s388001.htm","`Christopher Baum`,` Vince Wiggins`","A"
"archqq","stata module to generate q-q plot and distribution tests for arch models","https://econpapers.repec.org/software/bocbocode/s456922.htm","`Sune Karlsson`","A"
"archtest","matlab module to calculate test for autoregressive conditional heteroskedasticity","https://econpapers.repec.org/software/bocbocode/t871802.htm","`Ludwig Kanzler`","A"
"archtest","rats procedure to test a series for arch effects","https://econpapers.repec.org/software/bocbocode/rts00009.htm","`Tom Doan`","A"
"arcplot","stata module for arc plots","https://econpapers.repec.org/software/bocbocode/s459119.htm","`Asjad Naqvi`","A"
"ardl","stata module to perform autoregressive distributed lag model estimation","https://econpapers.repec.org/software/bocbocode/s458528.htm","`Sebastian Kripfganz`,` Daniel C`.` Schneider`","A"
"arfimafc","rats modules to forecast fractionally differenced timeseries","https://econpapers.repec.org/software/bocbocode/r022701.htm","`Christopher Baum`,` John Barkoulas`","A"
"arfsim","rats module to simulate arfima(0,d,0) fractionally integrated series","https://econpapers.repec.org/software/bocbocode/r940902.htm","`Rob Schoen`","A"
"arhomme","stata module to estimate arellano and bonhomme quantile selection model","https://econpapers.repec.org/software/bocbocode/s458890.htm","`Martin Biewen`,` Pascal Erhardt`","A"
"arimaauto","stata module to find the best arima model with the help of a stata-adjusted hyndman-khandakar (2008) algorithm","https://econpapers.repec.org/software/bocbocode/s459043.htm","`Ilya Bolotov`","A"
"arimafit","stata module to calculate aic, sic for arima model","https://econpapers.repec.org/software/bocbocode/s386601.htm","`Christopher Baum`","A"
"arimasel","stata module to compute selection criteria for arma(p,q) models","https://econpapers.repec.org/software/bocbocode/s458840.htm","`Christopher Baum`","A"
"armadiag","stata module to compute post-estimation residual diagnostics for time series","https://econpapers.repec.org/software/bocbocode/s456923.htm","`Sune Karlsson`","A"
"armadlm","rats procedure to set up a dlm (state-space model) based upon an arma model","https://econpapers.repec.org/software/bocbocode/rts00010.htm","`Tom Doan`","A"
"armaroots","stata module to compute roots of ar- and ma-polynomials","https://econpapers.repec.org/software/bocbocode/s456924.htm","`Sune Karlsson`","A"
"armaspectrum","rats procedure to graph the spectral density for an input arma model","https://econpapers.repec.org/software/bocbocode/rts00011.htm","`Tom Doan`","A"
"array","stata package to support arrays of variables","https://econpapers.repec.org/software/bocbocode/s346503.htm","`David E`.` Moore`","A"
